date,index,start,end,type,P,dD,dD_dev,dO,dO_dev,d_excess,min_temp,max_temp,temp,precip,duration,gwt,gwt2
106,2017-03-08,106,2017-03-08 12:00:00,2017-03-08 16:00:00,R,1,-33.11,0.09,-5.26,0.03,8.97,4.85,7.98,6.38,1.1,5,N,Meridional
107,2017-03-08,107,2017-03-08 16:00:00,2017-03-08 20:00:00,R,2.3,-24.03,0.11,-4.12,0.05,8.93,7.98,10.4,9.33,2.5,5,N,Meridional
108,2017-03-08,108,2017-03-08 20:00:00,2017-03-09,R,2,-17.42,0.14,-2.92,0.03,5.94,10.4,10.7,10.53,2,5,N,Meridional
109,2017-03-09,109,2017-03-09,2017-03-09 04:00:00,R,0.8,-25.56,0.1,-3.72,0.04,4.2,10.45,10.7,10.63,1.5,5,N,Meridional
110,2017-03-09,110,2017-03-09 04:00:00,2017-03-09 16:00:00,R,6.3,-28.56,0.2,-4.37,0.04,6.4,10.28,13.03,10.9,6.5,13,N,Meridional
111,2017-03-18,111,2017-03-18 04:00:00,2017-03-18 08:00:00,R,2.3,-41,0.33,-5.94,0.13,6.52,5.35,5.68,5.43,2.1,5,W,Zonal
112,2017-03-18,112,2017-03-18 08:00:00,2017-03-18 12:00:00,R,0.7,-25.52,0.14,-4.13,0.05,7.52,5.68,8.38,6.6,1.1,5,W,Zonal
113,2017-03-18,113,2017-03-18 16:00:00,2017-03-18 20:00:00,R,1.4,-26.59,0.24,-3.69,0.03,2.93,10,10.43,10.15,1.3,5,W,Zonal
114,2017-03-18,114,2017-03-18 20:00:00,2017-03-19,R,0.7,-24.13,0.21,-3.24,0.08,1.79,9.75,10,9.9,1,5,W,Zonal
115,2017-03-19,115,2017-03-19,2017-03-19 04:00:00,R,0.3,-10.85,0.33,-1.72,0.15,2.91,9.6,9.75,9.65,0.3,5,W,Zonal
116,2017-03-19,116,2017-03-19 04:00:00,2017-03-19 08:00:00,R,0.1,-11.15,0.29,-1.79,0.16,3.17,9.43,9.75,9.43,0.1,5,W,Zonal
117,2017-03-19,117,2017-03-19 08:00:00,2017-03-19 12:00:00,R,0.1,-11.3,0.32,-1.85,0.13,3.5,9.75,11.2,10.83,0.1,5,W,Zonal
118,2017-03-25,118,2017-03-25 04:00:00,2017-03-25 08:00:00,R,0,-16.85,0.24,-3.03,0.05,7.39,2.9,5.8,3.58,0,5,N,Meridional
119,2017-03-25,119,2017-03-25 12:00:00,2017-03-25 16:00:00,R,0,-30.3,0.36,-4.56,0.01,6.18,13.63,15.83,15.35,0,5,N,Meridional
120,2017-04-01,120,2017-03-31 16:00:00,2017-04-03 09:00:00,R,1.4,-44.26,0.32,-7.19,0.05,13.26,0.25,20.03,9.825,1.4,66,S,Meridional
121,2017-04-15,121,2017-04-15 12:00:00,2017-04-15 16:00:00,R,0.8,-21.77,0.2,-3.24,0.03,4.15,9.23,10.65,10.08,0.8,5,NW,Mixed
122,2017-04-16,122,2017-04-16 04:00:00,2017-04-16 08:00:00,R,0,-22.3,0.28,-3.39,0.05,4.82,4.9,7.23,5.75,0,5,NW,Mixed
123,2017-04-16,123,2017-04-16 16:00:00,2017-04-16 20:00:00,R,0.3,-11.26,0.39,-2.93,0.02,12.18,7.48,8.7,8.4,0.3,5,NW,Mixed
124,2017-04-17,124,2017-04-17 04:00:00,2017-04-17 08:00:00,R,1.5,-15.95,0.35,-3.32,0.05,10.61,5.95,6.95,6.58,1.5,5,E,Meridional
125,2017-04-17,125,2017-04-17 08:00:00,2017-04-17 12:00:00,R,1.3,-22.16,0.49,-4.05,0.1,10.24,6.95,9.35,7.23,1.6,5,E,Meridional
126,2017-04-17,126,2017-04-17 12:00:00,2017-04-17 16:00:00,R,0.2,-31.09,0.34,-4.74,0.07,6.83,6.98,8.55,7.1,0.9,5,E,Meridional
127,2017-04-18,127,2017-04-18 16:00:00,2017-04-18 20:00:00,R,0.5,-29.69,0.39,-5.44,0.08,13.83,4.4,7.43,6.78,0.5,5,E,Meridional
128,2017-04-25,128,2017-04-25 04:00:00,2017-04-25 08:00:00,R,0.1,-9.25,0.21,-1.07,0.04,-0.69,3.85,6.78,5.55,0.1,5,N,Meridional
129,2017-04-25,129,2017-04-25 08:00:00,2017-04-25 12:00:00,R,0.3,-25.04,0.25,-3.77,0.08,5.12,3.85,6.5,5.25,0.4,5,N,Meridional
130,2017-04-26,130,2017-04-26 12:00:00,2017-04-26 16:00:00,R,0,-15.62,0.03,-3.25,0.04,10.38,8.23,9.63,9.33,0,5,N,Meridional
131,2017-04-28,131,2017-04-28 16:00:00,2017-04-28 20:00:00,R,0.2,-15.73,0.19,-2.09,0.07,0.989999999999998,5.6,7.73,7.43,0.2,5,N,Meridional
