date,ID,Sampling start,Sampling end,Precipitation type,Rainfall [mm],dD,dD stdev,d18O,d18O stdev,d_excess,time,duration,gwt
122,2017-04-16,130,2017-04-16 16:00:00,2017-04-16 20:00:00,R,0.3,-11.26,0.39,-2.93,0.02,12.18,16,4,North West
123,2017-04-16,129,2017-04-16 04:00:00,2017-04-16 08:00:00,R,0,-22.3,0.28,-3.39,0.05,4.82,4,4,North West
124,2017-04-17,131,2017-04-17 04:00:00,2017-04-17 08:00:00,R,1.5,-15.95,0.35,-3.32,0.05,10.61,4,4,East
125,2017-04-17,132,2017-04-17 08:00:00,2017-04-17 12:00:00,R,1.3,-22.16,0.49,-4.05,0.1,10.24,8,4,East
126,2017-04-17,133,2017-04-17 12:00:00,2017-04-17 16:00:00,R,0.2,-31.09,0.34,-4.74,0.07,6.83,12,4,East
127,2017-04-18,134,2017-04-18 16:00:00,2017-04-18 20:00:00,R,0.5,-29.69,0.39,-5.44,0.08,13.83,16,4,East
128,2017-04-25,135,2017-04-25 04:00:00,2017-04-25 08:00:00,R,0.1,-9.25,0.21,-1.07,0.04,-0.69,4,4,North
129,2017-04-25,136,2017-04-25 08:00:00,2017-04-25 12:00:00,R,0.3,-25.04,0.25,-3.77,0.08,5.12,8,4,North
130,2017-04-26,137,2017-04-26 12:00:00,2017-04-26 16:00:00,R,0,-15.62,0.03,-3.25,0.04,10.38,12,4,North
131,2017-04-28,138,2017-04-28 16:00:00,2017-04-28 20:00:00,R,0.2,-15.73,0.19,-2.09,0.07,0.989999999999998,16,4,North
132,2017-04-30,139,2017-04-30 20:00:00,2017-05-01,R,0.1,-2.38,0.11,1.97,0.02,-18.14,20,4,East
133,2017-05-01,140,2017-05-01,2017-05-01 04:00:00,R,0.2,-27.38,0.13,-2.51,0.02,-7.3,0,4,East
134,2017-05-01,141,2017-05-01 04:00:00,2017-05-01 08:00:00,R,1.3,-66.85,0.1,-9.92,0.04,12.51,4,4,East
135,2017-05-02,142,2017-05-02 20:00:00,2017-05-03,R,0.2,-52.74,0.14,-7.02,0.04,3.41999999999999,20,4,East
136,2017-05-03,145,2017-05-03 08:00:00,2017-05-03 10:30:00,R,0.1,-62.58,0.06,-8.49,0.04,5.34,8,3,East
137,2017-05-03,146,2017-05-03 10:30:00,2017-05-03 16:00:00,R,0.1,-48.79,0.31,-6.32,0.05,1.77,10,5,East
138,2017-05-03,143,2017-05-03,2017-05-03 04:00:00,R,1.1,-67.4,0.17,-9.56,0.04,9.08,0,4,East
139,2017-05-03,144,2017-05-03 04:00:00,2017-05-03 08:00:00,R,0.1,-70.14,0.08,-10.03,0.06,10.1,4,4,East
140,2017-05-03,147,2017-05-03 16:00:00,2017-05-03 20:00:00,R,2.7,-56.11,0.17,-8.89,0.02,15.01,16,4,East
141,2017-05-04,148,2017-05-04 16:00:00,2017-05-04 20:00:00,R,0.1,-59.99,0.13,-8.11,0.05,4.88999999999999,16,4,East
142,2017-05-06,151,2017-05-06 16:00:00,2017-05-06 20:00:00,R,0.3,-19.62,0.25,-3.02,0.04,4.54,16,4,North
143,2017-05-06,152,2017-05-06 20:00:00,2017-05-07,R,0.5,-21.28,0.21,-3.83,0.06,9.36,20,4,North
144,2017-05-06,150,2017-05-06 12:00:00,2017-05-06 16:00:00,R,1.2,-22.21,0.33,-3.32,0.08,4.35,12,4,North
145,2017-05-07,153,2017-05-07,2017-05-07 04:00:00,R,0.4,-22.45,0.27,-4.11,0.08,10.43,0,4,North
146,2017-05-07,154,2017-05-07 04:00:00,2017-05-07 08:00:00,R,0.4,-21.78,0.11,-4.5,0.04,14.22,4,4,North
147,2017-05-07,155,2017-05-07 08:00:00,2017-05-07 12:00:00,R,0,-19.26,0.14,-4.09,0.09,13.46,8,4,North
148,2017-05-11,156,2017-05-11 20:00:00,2017-05-12,R,0.1,-31.28,0.1,-3.68,0.04,-1.84,20,4,South
149,2017-05-12,158,2017-05-12 08:00:00,2017-05-12 12:00:00,R,0.2,-43.84,0.13,-5.4,0.06,-0.640000000000001,7,4,South
150,2017-05-12,159,2017-05-12 16:00:00,2017-05-12 20:00:00,R,0.1,-37.91,0.17,-3.33,0.01,-11.27,16,4,South
151,2017-05-12,157,2017-05-12,2017-05-12 04:00:00,R,0.3,-46.65,0.28,-6.25,0.03,3.35,0,4,South
152,2017-05-13,160,2017-05-13 20:00:00,2017-05-14,R,0.2,-31.25,0.13,-3.38,0.05,-4.21,20,4,West
153,2017-05-14,163,2017-05-14 16:00:00,2017-05-14 20:00:00,R,1.8,-33.73,0.26,-5.27,0.04,8.43,16,4,West
154,2017-05-14,161,2017-05-14,2017-05-14 04:00:00,R,0.1,-34.86,0.21,-4.12,0.01,-1.9,0,4,West
155,2017-05-14,162,2017-05-14 08:00:00,2017-05-14 12:00:00,R,0.1,-34.55,0.33,-4.71,0.11,3.13,8,4,West
156,2017-05-15,164,2017-05-15 04:00:00,2017-05-15 08:00:00,R,0.1,-27.07,0.25,-4.4,0.04,8.13,4,4,West
157,2017-05-18,165,2017-05-18 04:00:00,2017-05-18 08:00:00,R,0.4,-39.76,0.07,-5.63,0.05,5.28,4,4,South
158,2017-05-18,166,2017-05-18 12:00:00,2017-05-18 16:00:00,R,0.2,-39.05,0.12,-4.55,0.05,-2.65,12,4,South
159,2017-05-18,167,2017-05-18 20:00:00,2017-05-19,R,1,-36.14,0.05,-5.9,0.04,11.06,20,4,South
160,2017-05-19,168,2017-05-19,2017-05-19 04:00:00,R,0.1,-30.42,0.14,-4.76,0.04,7.66,0,4,South
161,2017-05-19,169,2017-05-19 04:00:00,2017-05-19 08:00:00,R,1.1,-110.22,0.17,-14.79,0.05,8.09999999999999,4,4,South
162,2017-05-19,171,2017-05-19 12:00:00,2017-05-19 16:00:00,R,0.3,-77.34,0.1,-10.22,0.05,4.42,12,4,South
163,2017-05-19,172,2017-05-19 20:00:00,2017-05-20,R,0.1,-52.03,0.1,-6.45,0.07,-0.43,20,4,South
164,2017-05-19,170,2017-05-19 08:00:00,2017-05-19 12:00:00,R,4.1,-122.09,0.22,-16.4,0.06,9.10999999999999,8,4,South
165,2017-05-30,174,2017-05-30 12:00:00,2017-05-30 16:00:00,R,0.4,-35.3,0.05,-5.69,0.03,10.22,12,4,West
166,2017-06-02,177,2017-06-02 20:00:00,2017-06-03,R,1.6,-19.71,0.14,-2.7,0.04,1.89,20,4,West
167,2017-06-02,175,2017-06-02 12:00:00,2017-06-02 15:00:00,R,10.1,-36.43,0.33,-5.5,0.05,7.57,12,3,West
